mu,xi,sigma,c,generations,extinct,final_fitness,final_variance,final_clusters,final_silhouette,speciation
0.01,0.001,0.5,0.0,50,False,0.9149360683737398,0.0034616411756853887,4,1.0,True
0.01,0.001,0.5,0.0,100,False,0.977160324479286,7.05901959382033e-08,4,1.0,True
0.01,0.001,0.5,0.0,200,False,0.9112752491349201,2.3732655502320942e-08,4,0.98,True
0.01,0.001,0.5,0.002,50,False,0.7842447820536813,0.000508126798607235,5,0.989993441178418,True
0.01,0.001,0.5,0.002,100,False,0.5835815357702435,1.5184964536959085e-09,4,0.98,True
0.01,0.001,0.5,0.002,200,False,0.2614051216751777,2.3614308530617995e-32,1,,False
0.01,0.001,0.5,0.005,50,False,0.6657840584573682,0.0005719336323583484,3,0.9999998602202702,True
0.01,0.001,0.5,0.005,100,True,0.20419763657445655,1.1440625722767803e-32,1,,False
0.01,0.001,0.5,0.005,200,True,0.20092961929027495,8.726870060504662e-34,1,,False
0.01,0.001,0.5,0.01,50,True,0.21120478946729832,2.5923017051452193e-32,1,,False
0.01,0.001,0.5,0.01,100,True,0.2076867377439035,1.64263390207922e-08,2,0.9999962799679707,True
0.01,0.001,0.5,0.01,200,True,0.20194231386022654,4.687722489938138e-10,2,0.9999814366794273,True
0.01,0.001,1.0,0.0,50,False,0.976484013812856,0.005171464230062371,4,0.9999999987073396,True
0.01,0.001,1.0,0.0,100,False,0.9798234392526094,0.0028310693391679423,2,0.9999788522265689,True
0.01,0.001,1.0,0.0,200,False,0.9833110118952759,7.906346298078188e-08,5,0.9999996703160906,True
0.01,0.001,1.0,0.002,50,False,0.9766483290502243,0.002175642078446964,3,1.0,True
0.01,0.001,1.0,0.002,100,False,0.896182153161307,3.257689812230435e-33,1,,False
0.01,0.001,1.0,0.002,200,False,0.6696017672261406,6.203901833357383e-33,1,,False
0.01,0.001,1.0,0.005,50,False,0.815484054949837,0.009087901442555384,2,0.9999999963773092,True
0.01,0.001,1.0,0.005,100,False,0.563616113038439,5.618674917834403e-34,1,,False
0.01,0.001,1.0,0.005,200,True,0.2023149987969561,2.6240521607494954e-08,4,1.0,True
0.01,0.001,1.0,0.01,50,False,0.644085130271574,0.0005111832708029493,2,0.99885806509818,True
0.01,0.001,1.0,0.01,100,True,0.20425074667817347,4.914499767063603e-09,2,1.0,True
0.01,0.001,1.0,0.01,200,True,0.20556776136622176,7.337793088115369e-33,1,,False
0.01,0.001,2.0,0.0,50,False,0.9968457131298162,0.003528205126382091,5,0.989997787096124,True
0.01,0.001,2.0,0.0,100,False,0.9951381719702063,0.00010324383043527282,3,1.0,True
0.01,0.001,2.0,0.0,200,False,0.9872496973824119,6.001887352533388e-08,4,0.9999990477539202,True
0.01,0.001,2.0,0.002,50,False,0.9927053995727086,0.0009753825731111529,3,1.0,True
0.01,0.001,2.0,0.002,100,False,0.9592895648272575,1.4507067306096855e-32,1,,False
0.01,0.001,2.0,0.002,200,False,0.9155240841464614,1.0538785898267562e-08,2,1.0,True
0.01,0.001,2.0,0.005,50,False,0.972379908825101,0.004125677431533792,3,0.9987981132470256,True
0.01,0.001,2.0,0.005,100,False,0.8571942401666383,9.208352546601471e-33,1,,False
0.01,0.001,2.0,0.005,200,False,0.5487671690615291,3.374767442295024e-09,3,1.0,True
0.01,0.001,2.0,0.01,50,False,0.885203251146809,0.002259898502593464,3,0.999992173511473,True
0.01,0.001,2.0,0.01,100,False,0.5653095165648593,1.8118743400351172e-07,3,0.9999982227278221,True
0.01,0.001,2.0,0.01,200,True,0.2000867258154182,6.48347200580215e-33,1,,False
0.01,0.05,0.2,0.0,50,False,0.9697034940828719,6.2788325452561996e-34,1,,False
0.01,0.05,0.2,0.0,100,False,0.830296403918573,5.532318400845594e-33,1,,False
0.01,0.05,0.2,0.0,200,False,0.9323552910766708,1.9049658002694015e-05,2,1.0,True
0.01,0.05,0.2,0.002,50,False,0.4550408763066028,3.15145333478052e-33,1,,False
0.01,0.05,0.2,0.002,100,True,0.20210173071509085,8.811731348679224e-33,1,,False
0.01,0.05,0.2,0.002,200,True,0.20694445528637306,2.718119097293392e-33,1,,False
0.01,0.05,0.2,0.005,50,True,0.20310017440536982,0.00010566132036468785,2,1.0,True
0.01,0.05,0.2,0.005,100,True,0.20959577754894723,1.441558563373846e-32,1,,False
